grad_step,syncs,since_sync,flip_vs_prev,flip_vs_ref,recent100
100,0,100,0.029296875,0.029296875,44.888888888888886
200,0,200,0.021484375,0.03515625,44.888888888888886
300,0,300,0.044921875,0.060546875,44.888888888888886
400,0,400,0.01953125,0.072265625,44.888888888888886
500,0,500,0.041015625,0.0625,44.888888888888886
600,0,600,0.03125,0.078125,44.888888888888886
700,0,700,0.013671875,0.080078125,53.21052631578947
800,0,800,0.12890625,0.111328125,53.21052631578947
900,0,900,0.115234375,0.06640625,53.21052631578947
1000,1,0,0.0078125,0.06640625,53.21052631578947
1100,1,100,0.02734375,0.0859375,53.21052631578947
1200,1,200,0.095703125,0.146484375,53.21052631578947
1300,1,300,0.09375,0.087890625,53.21052631578947
1400,1,400,0.142578125,0.12890625,53.21052631578947
1500,1,500,0.109375,0.07421875,53.21052631578947
1600,1,600,0.01953125,0.07421875,53.21052631578947
1700,1,700,0.078125,0.1484375,53.21052631578947
1800,1,800,0.09765625,0.0859375,53.21052631578947
1900,1,900,0.029296875,0.080078125,53.21052631578947
2000,2,0,0.029296875,0.0859375,53.21052631578947
2100,2,100,0.13671875,0.1328125,53.21052631578947
2200,2,200,0.0390625,0.1328125,53.21052631578947
2300,2,300,0.048828125,0.130859375,53.21052631578947
2400,2,400,0.04296875,0.142578125,61.4
2500,2,500,0.11328125,0.083984375,61.4
2600,2,600,0.1328125,0.146484375,59.42857142857143
2700,2,700,0.005859375,0.14453125,59.42857142857143
2800,2,800,0.0234375,0.13671875,58.04545454545455
2900,2,900,0.013671875,0.146484375,53.833333333333336
3000,3,0,0.029296875,0.13671875,51.8
3100,3,100,0.013671875,0.138671875,51.8
3200,3,200,0.009765625,0.140625,51.8
3300,3,300,0.04296875,0.12109375,51.8
3400,3,400,0.1328125,0.08203125,51.8
3500,3,500,0.115234375,0.119140625,51.8
3600,3,600,0.015625,0.130859375,51.8
3700,3,700,0.01171875,0.119140625,51.8
3800,3,800,0.119140625,0.06640625,51.8
3900,3,900,0.025390625,0.064453125,51.8
4000,4,0,0.015625,0.068359375,51.8
4100,4,100,0.095703125,0.1328125,51.8
4200,4,200,0.015625,0.12109375,51.8
4300,4,300,0.025390625,0.126953125,51.8
4400,4,400,0.0078125,0.126953125,51.8
4500,4,500,0.013671875,0.1171875,51.8
4600,4,600,0.009765625,0.119140625,51.8
4700,4,700,0.01171875,0.115234375,51.8
4800,4,800,0.017578125,0.12109375,51.8
4900,4,900,0.0390625,0.14453125,51.8
5000,5,0,0.0234375,0.12109375,51.8
5100,5,100,0.04296875,0.12109375,51.8
5200,5,200,0.087890625,0.056640625,51.8
5300,5,300,0.0234375,0.064453125,51.8
5400,5,400,0.10546875,0.123046875,51.8
5500,5,500,0.08984375,0.064453125,51.8
5600,5,600,0.017578125,0.0625,51.8
5700,5,700,0.0859375,0.125,51.8
5800,5,800,0.099609375,0.056640625,63.76923076923077
5900,5,900,0.103515625,0.12890625,63.76923076923077
6000,6,0,0.1171875,0.07421875,63.76923076923077
6100,6,100,0.103515625,0.134765625,63.76923076923077
6200,6,200,0.0234375,0.130859375,63.76923076923077
6300,6,300,0.005859375,0.13671875,63.55555555555556
6400,6,400,0.10546875,0.08203125,59.3448275862069
6500,6,500,0.0234375,0.08203125,58.0
6600,6,600,0.025390625,0.087890625,58.0
6700,6,700,0.0234375,0.080078125,58.0
6800,6,800,0.107421875,0.140625,58.0
6900,6,900,0.013671875,0.138671875,58.0
7000,7,0,0.087890625,0.078125,58.0
7100,7,100,0.095703125,0.146484375,58.54838709677419
7200,7,200,0.03125,0.134765625,58.54838709677419
7300,7,300,0.0078125,0.134765625,58.54838709677419
7400,7,400,0.0078125,0.130859375,58.54838709677419
7500,7,500,0.017578125,0.13671875,58.21875
7600,7,600,0.0390625,0.1328125,58.21875
7700,7,700,0.021484375,0.130859375,56.93939393939394
7800,7,800,0.017578125,0.13671875,55.85294117647059
7900,7,900,0.029296875,0.138671875,55.85294117647059
8000,8,0,0.017578125,0.1328125,55.85294117647059
8100,8,100,0.111328125,0.068359375,55.85294117647059
8200,8,200,0.025390625,0.0703125,55.42857142857143
8300,8,300,0.033203125,0.064453125,55.42857142857143
8400,8,400,0.013671875,0.07421875,55.42857142857143
8500,8,500,0.021484375,0.068359375,55.42857142857143
8600,8,600,0.01171875,0.068359375,55.30555555555556
8700,8,700,0.013671875,0.0625,55.30555555555556
8800,8,800,0.013671875,0.064453125,54.729729729729726
8900,8,900,0.009765625,0.06640625,54.729729729729726
9000,9,0,0.025390625,0.060546875,54.729729729729726
9100,9,100,0.017578125,0.0546875,54.729729729729726
9200,9,200,0.01171875,0.05859375,54.729729729729726
9300,9,300,0.015625,0.06640625,54.729729729729726
9400,9,400,0.0234375,0.06640625,54.729729729729726
9500,9,500,0.01953125,0.0625,54.729729729729726
9600,9,600,0.017578125,0.064453125,54.729729729729726
9700,9,700,0.0234375,0.064453125,55.921052631578945
9800,9,800,0.017578125,0.0625,55.921052631578945
9900,9,900,0.01171875,0.0703125,55.921052631578945
10000,10,0,0.009765625,0.064453125,55.921052631578945
10100,10,100,0.015625,0.060546875,55.921052631578945
10200,10,200,0.087890625,0.12890625,55.921052631578945
10300,10,300,0.08984375,0.06640625,56.46153846153846
10400,10,400,0.021484375,0.060546875,56.46153846153846
10500,10,500,0.015625,0.072265625,56.46153846153846
10600,10,600,0.029296875,0.05859375,54.73170731707317
10700,10,700,0.025390625,0.068359375,54.73170731707317
10800,10,800,0.041015625,0.06640625,54.73170731707317
10900,10,900,0.017578125,0.072265625,54.73170731707317
11000,11,0,0.017578125,0.078125,54.73170731707317
